X,Y
76,80
77,20
77,35
77,36
77,64
77,65
77,80
78,21
78,37
78,38
78,39
78,61
78,62
78,63
78,79
79,22
79,40
79,41
79,42
79,43
79,57
79,58
79,59
79,60
79,78
80,23
80,24
80,44
80,45
80,46
80,47
80,48
80,49
80,50
80,51
80,52
80,53
80,54
80,55
80,56
80,76
80,77
81,25
81,75
82,26
82,74
83,27
83,28
83,72
83,73
84,29
84,71
85,30
85,31
85,69
85,70
86,32
86,33
86,67
86,68
87,34
87,35
87,36
87,64
87,65
87,66
88,37
88,38
88,39
88,61
88,62
88,63
89,40
89,41
89,42
89,43
89,57
89,58
89,59
89,60
90,44
90,45
90,46
90,47
90,48
90,49
90,50
90,51
90,52
90,53
90,54
90,55
90,56
